Customer,TotalRate,Pickup,Dropoff,PickupDate
6334,1100," Anderson, SC 29626"," Prince George, VA 23875",2023-12-26
6348,850," 1537 AIR RAIL AVE, Virginia Beach,VA 23455,UNITED STATES"," 5566 Burlington Road, Mc Leansville,NC 27301,USA",2023-12-18
6325,1900,Phoenix AZ,Houston TX,2023-12-06
6373,1850,Brookshire TX,Chandler AZ,2023-12-06
6297,1300,Mcdonough GA,Sutherland VA,2023-12-22
6297,1300,Mcdonough,Sutherland VA,2024-01-02
6374,1400," QAE (2195 Industrial South Road) Dalton, GA 30721"," QTS (6000 Technology Blvd. ) Sandston, VA 23150",2024-01-02
6278,1150," BMBCC WILLIAMSBURG, Williamsburg, VA"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, Shannon, GA",2024-01-02
6272,1350,Dalton GA,Chesapeake VA,2024-01-02
6301,1100," 8935 POCAHOTAS TRAIL, Williamsburg, VA 23185"," 110 BALL DR NE, Rome, GA 30161",2024-01-02
6278,1150," BMBCC WILLIAMSBURG, 8935 POCAHOTAS TRAIL, Williamsburg, VA"," BCLLC ROME, 110 BALL DRIVE, Rome, GA",2023-12-26
6273,850," 7795 POCAHONTAS TRAIL, WILLIAMSBURG VA 23185"," 145 JACOB HOLM WAY, CANDLER NC 28715",2023-12-28
6375,1200," 105 Andrew Way, VILLA RICA GA 30180"," 2540 Charles City Rd, RICHMOND VA 23231",2024-01-02
6328,700," TIDEWATER FIBRE CORP, 1958 DIAMOND HILL RD, CHESAPEAKE VA 23324"," 606 WALTERS ST, REIDSVILLE NC 27320",2023-12-29
6278,1150," BMBCC WILLIAMSBURG, Williamsburg, VA"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, Shannon, GA",2023-12-26
6297,2000, Lynchburg VA,Orlando FL,2023-12-22
6371,750," 810 FORD DRIVE NORFOLK, VA 23513"," 178 AVGOL DRIVE MOCKSVILLE, NC 27028",2023-12-27
6313,850,Charlotte NC,Virginia Beach VA,2023-12-28
6272,1100," 100 Royal Way, TEMPLE GA 30179"," 2511 BRITTONS HILL ROAD, RICHMOND VA 23230",2023-12-20
6376,1200," 3 M TECH CERAMICS - 510 MIDWAY CIR, MIDWAY, TN 37809"," HAMPTON CASTING - 720 GREENLAWN Ses, HAMPTON, VA 23681",2024-01-05
6301,1200,Williamsburg VA,Shannon GA,2024-01-05
6272,1100, 3201 N Bypass DALTON GA 30721, 900 McDonough St RICHMOND VA 23224,2024-01-05
6334,900," Rutherfordton, NC 28139"," Disputanta, VA 23842",2024-01-05
6313,900," 816 LAWTON RD, CHARLOTTE, NC 28216"," 1400 AIR RAIL AVE, VIRGINIA BEACH, VA 23455",2024-01-05
6268,1875, Kennesaw GA,Disputanta VA,2024-01-05
6371,750," 810 FORD ORIVE NORFOLK, VA 23513"," 178 AVGOL DRIVE MOCKSVILLE, NC 27028",2024-01-05
6334,875," Pineville, NC 28134"," Petersburg, VA 23803",2024-01-05
6377,2450," 13800 NORTH FWY, HOUSTON TX 77090"," 800 TIDEWATER DRIVE, NORFOLK VA 23504",2024-01-05
6378,830,Lancaster TX,Rosenberg TX,2024-01-02
6379,2200,1703 Ruffin Mill Rd Colonial Height VA 23834,6425 Campus Circle Drive West Irving TX 75063,2023-12-29
6300,700,Chester VA,Mount Crawford VA,2024-01-05
6275,1055,Capital Heights MD,Norfolk VA,2024-01-02
6268,750," Virginia Beach, VA"," Lynchburg, VA",2024-01-03
6324,700," Niagara RCH, 1700 Digital Dr, Chester VA 23836"," Costco 225, 10701 Sudley Manor Drive, Manassas VA 20109",2024-01-01
6380,1800," 2800 SPROUSE DR, RICHMOND, VA 23231"," 825 MAXHAM RD STE 400, LITHIA SPRINGS, GA 30122",2023-12-31
6326,1225,Calhoun GA,Richmond VA,2024-01-04
6268,1100," Adairsville, GA"," Amelia Court House, VA",2024-01-09
6278,1150," BMBCC WILLIAMSBURG, 8935 POCAHOTAS TRAIL, Williamsburg, VA US 23185"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, 212 BURLINGTON Rd NE, Shannon, GA US 30172",2024-01-05
6381,700," 13101 N. Enon Church Road, CHESTER VA 23836"," 145 Factory Street, RONDA NC 28670",2024-01-11
6333,900," 199 N Edgerton Road, HENDERSONVILLENC 28792"," 6801 Aldi Way, PETERSBURG VA 23803",2024-01-12
6353,1462," 28990 GEORGIA HIGHWAY 3, Ochlocknee, GA 31773"," 21500 COX ROAD, Sutherland, VA 23885",2024-01-11
6371,750, Norfolk VA,Mocksville NC,2024-01-05
6382,1000," SADDLE CREEK LOGISTICS TROUTMAN, NC"," FOOD LION-GROCERY-DC 20 DISPUTANTA, VA",2024-01-09
6278,1150," BMBCC WILLIAMSBURG, 8935 POCAHOTAS TRAIL, Williamsburg, VA US 23185"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, 212 BURLINGTON Rd NE, Shannon, GA US 30172",2024-01-07
6320,1097.5,"WINCHESTER, VA 22603"," PETERSBURG, VA 23803",2024-01-05
6383,450," 48 FORTY SOLUTIONS, 3707 NINE MILE ROAD, RICHMOND, VIRGINIA 23223"," TR OLINDL OGY CLAY, CHESTER, VIRGINIA 23836",2024-01-05
6375,1250," 105 Andrew Way, VILLA RICA GA 30180"," 11400 Washington Hwy, ASHLAND VA 23005",2024-01-09
6320,500," WOODLAND RD, STERLING, VA 20166-9223"," WEST POINT, VA 23181",2024-01-10
6348,800," Newport News,VA"," Danville, VA",2024-01-11
6348,800,"Newport News, VA","Danville, VA",2024-01-11
6364,1240,"8101 White Pine Road Richmond, VA 23237"," 5300-D Fulton Industrial Boulevard, Atlanta, GA, 30336",2024-01-09
6384,327,"1700 DIGITAL DRIVE CHESTER, VA 23836"," 6500 ENTERPRISE DRIVE DISPUTANTA, VA 23842",2024-01-12
6371,750," Norfolk, VA","Mocksville, NC",2024-01-11
6354,1200, Norfolk VA, FORT OGLETHORP GA,2024-01-05
6319,1100,Knoxville TN,Richmond VA,2024-01-08
6371,750," 810 FORD DRIVE NORFOLK, VA 23513"," 178 AVGOL DRIVE MOCKSVILLE, NC 27028",2024-01-17
6385,1000,Lafayette IN,Harrisonburg VA,2024-01-16
6275,350," Chester, VA","Midlothian, VA",2024-01-14
6275,750,"Williamsburg, VA","Linwood, NC",2024-01-15
6386,800," 2405 Sam Wilson Rd, Charlotte, NC 28214"," 2804 Decatur St, BLDG # 32, Richmond, VA 23224",2024-01-12
6269,1400,Hampton VA,Lafayette IN,2024-01-15
6387,1100, NEWNAN GA 30263, RICHMOND VA 23230,2024-01-20
6275,800,Williamsburg VA,Greensboro NC,2024-01-19
6388,650," FOOD LION - Salisbury, 2085 Harrison Rd, Salisbury, NC US 28147"," PECO PALLET, 2913 TRANSPORT RD, Richmond, VA US 23234",2024-01-19
6275,850, Mooresville NC, Disputanta VA,2024-01-18
6279,1102,Richmond VA,"College Park, GA",2024-01-15
6315,700," 2900 SPROUSE DR, HENRICO, VA 23231"," 1911 CONTINENTAL BLVD, CHARLOTTE, NC 28273",2024-01-17
6278,1150,Williamsburg VA,Rome GA,2024-01-18
6389,2000," 1250 SOUTH 300 WEST, WASHINGTON IN 47501"," 32126 General Thomas Hwy, Franklin VA 23851",2024-01-16
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-01-15
6310,900, SV WAREHOUSING SERVICES LLC-HAMPTON, MERITOR FLETCHER WAREHOUSE,2024-01-17
6380,1000,"Cheraw, SC","Belcamp, MD",2024-01-19
6304,950," Shelby, NC 28150"," MECHANICSVILLE, VA 23116-2008",2024-01-18
6304,700," CHESTER, VA 23836-2846"," DUNN, NC 28334",2024-01-20
6274,1050," 2388 Monroe Dr, Gainesville, GA 30507"," 1201 Progress Road, Suffolk, VA 23434",2024-01-16
6390,1000,"Greenville, SC","Prince George, VA",2024-01-18
6354,800, PU 1 Chester VA 23836,S02 Capitol Heights MD 20743,2024-01-18
6391,920,"Ball Metal Beverage Packing - 152 8935 Pocahontas Trail Williamsburg, VA 23185","Mills River Brewery 515 Ferncliff Park Dr Fletcher, NC 28732",2024-01-17
6342,1000," 2800 SPROUSE DR, RICHMOND, VA 23231"," 825 MAXHAM RD STE 400, LITHIASPRINGS, GA 30122",2024-01-15
6391,600,"8935 Pocahontas Trail Williamsburg, VA 23835","443 South Oak Lane Lyndhurst, VA 22952",2024-01-21
6392,775,"BALTIMORE, MD","LINTHICUM HEIGHTS, MD",2024-01-20
6273,800," 3050 ELMHURST LN, PORTSMOUTH VA 23701"," 2940 ARROWHEAD RD, DUNN NC 28334",2024-01-19
6279,2900,"Sylvamo 250'1 165th St Hammond,lN 46320","5045 Portsmouth Blvd chesapeake,no,VA 23321",2024-01-22
6279,800,"Albaad Usa lnc 129 Technology Dr South Reidsville,NC 27320","Target Dc 550 423 Mount Vernon Rd Stuarts Draft,VA 24477",2024-01-12
6371,750," 810 FORD DRIVE NORFOLK, VA 23513"," 178 AVGOL DRIVE — MOCKSVILLE, NC 27028",2024-01-26
6393,1150, 4441 Carolina Ave RICHMOND VA 23222, 5605 Gwaltney Drive ATLANTA GA 30336,2024-01-24
6353,1000," AMAZON - ORF 2, 5045 PORTSMOUTH BLVD, Chesapeake, VA 23321"," CAPITAL TRADING, 117 LITTLE JOHN STREET, Spartanburg, SC 29301",2024-01-20
6275,300,"Niagara Bottling LLC, 1700 DIGITAL DR ORG CODE - RCH CHESTER, VA 23836","Food Lion, 6500 Enterprise Dr Disputanta, VA 23842",2024-01-24
6390,1000," Sauer Brands - South Park, 39 South Park Drive, Greenville, SC 29607"," Walmart DC# 6023 - Sutherland, 21504 Cox Road, Sutherland, VA 23885",2024-01-23
6278,1150,Williamsburg VA,Shannon GA,2024-01-22
6278,1150," BMBCC WILLIAMSBURG, 8935 POCAHOTAS TRAIL, Williamsburg, VA US 23185"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, 212 BURLINGTON Rd NE, Shannon, GA US 30172",2024-01-24
6319,850,Williamsburg VA,Winston Salem NC,2024-01-27
6336,1300," M&S Logistics, Inc. 200 Marine Dr, CALHOUN GA 30701"," INTERIOR LOGIC GROUP 4720 Eubank Rd, HENRICO VA 23231",2024-01-24
6320,1100,Chesapeake VA,Cleveland GA,2024-01-22
6372,1100, 100 BUSCH DR NE CARTERSVILLE GA 30121, 7795 POCAHONTAS TRAIL WILLIAMSBURG VA 23185,2024-01-23
6269,1300," 3100 Elmhurst Lane, Portsmouth VA 23701"," 849 Whitaker RD, Plainfield IN 46168",2024-01-25
6268,150," Atlanta, GA"," Norfolk, VA",2024-01-23
6325,150, Chester VA," DUNN, NC",2024-01-26
6308,1875," TYSON FOODS INC 2, 543 1 2 TH STREET, HICKORY NC 28601"," 330 GREENS LANDING, HOUSTON TX 77038",2024-01-27
6329,1358.75," 5820 Trade Center Court, Villa Rica, GA 30180"," 5045 Portsmouth Blvd, Chesapeake, VA 23321",2024-01-10
6394,2100," WILSON WAREHOUSE, 5055 S MARTIN LUTHER KING PARKWAY, BEAUMONT, TX 77701",Danville VA,2024-01-23
6395,875," 920 Black Satchel Rd, CHARLOTTE NC 28216"," 2000 Monticello Ave, NORFOLK VA 23517",2024-01-25
6396,880," COCA COLA BOTTLING CO, 920 BLACK SATCHEL RD, CHARLOTTE,NC 28216"," COCA COLA, 2000 MONTICELLO AVE, NORFOLK,VA 23517",2024-01-17
6397,0,"Whites Nursery 3133 Old Mill Road Chesapeake, VA, 23323","CC Racks - GA 8220 Troon Circle Suite 100 Austell, GA, 30168",2024-01-27
6398,2050," 3660 MOREHEAD AVE RIDGEWAY, VA 24148"," 5135 S EASTSIDE HWY ELKTON, VA 22827",2024-01-22
6399,1000,Prince George VA,Douglasville GA,2024-01-22
6374,1566.25," QAE (930 South Hamilton St. ) Dalton, GA 30720"," QTS (12445 Innovation Dr. ) Ruther Glen, VA 22546",2024-01-19
6304,1150," Carrollton, GA 30117"," Sandston, VA 23150-2405",2024-01-23
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-01-24
6400,2000," Clayton, IN 46118"," SUTHERLAND, VA 23885",2024-01-25
6278,250," BMBCC WILLIAMSBURG, 8935 POCAHOTAS TRAIL, Williamsburg, VA US 23185"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, 212 BURLINGTON Rd NE, Shannon, GA US 30172",2024-01-31
6395,875," 920 Black Satchel Rd, CHARLOTTE NC 28216"," 2000 Monticello Ave, NORFOLK VA 23517",2024-01-29
6401,950," 441 MASTERS BLVD, ANDERSON SC 29626"," 901 WALMART WAY, MIDLOTHIAN VA 23113",2024-01-27
6273,803,Williamsburg VA,Candler NC,2024-01-26
6383,2041," Origin Harrison Steel Castings Co, INDIANA 47918"," Liebherr Mining, NEWPORT NEWS VIRGINIA 23607",2024-01-30
6272,1800,Chesapeake VA,Crawfordsville IN,2024-01-29
6392,850," ExxonMobil Chemical Company Plant Code USDT (Norfolk, VA)"," Pax Industries (WHSE) (Charlotte, NC)",2024-01-30
6390,1000,Greenville SC,Sutherland VA,2024-01-31
6275,875,SC,VA,2024-02-05
6336,1300,GA,VA,2024-02-05
6310,900," HAMPTON, VA 23661"," FLETCHER, NC 28732",2024-02-05
6310,900," SV WAREHOUSING SERVICES LLC-HAMPTON, 2100 5 6 TH ST, HAMPTON, VA 23661"," MERITOR FLETCHER WAREHOUSE, 175 MILLS GAP RD. SUITE 450, FLETCHER, NC 28732",2024-02-05
6275,1100," Welspun, 5391 Virginia Regional Dr SUFFOLK, VA 23434"," ATLANTA DRY, 4250 S FULTON PARKWAY COLLEGE PARK, GA 30349",2024-02-05
6402,1000," WHEEL PROS #1088, 3020 GRAVEL SPRINGS RD, BUFORD GA 30519"," WHEEL PROS #1030, 4283 CAROLINA AVENUE, RICHMOND VA 23222",2024-02-05
6271,600," LYNCHBURG, VA"," SUTHERLAND, VA",2024-02-05
6297,150,"Austin, IN","Ruther Glen, VA",2024-02-05
6303,1300,"Calhoun, GA","Newport News, VA",2024-02-05
6272,1000," 17200 Warwick Blvd, NEWPORT NEWS VA 23603"," 213 Commerce Blvd, ANDERSON SC 29625",2024-02-11
6401,950," 441 MASTERS BLVD, ANDERSON SC 29626"," 901 WALMART WAY, MIDLOTHIAN VA 23113",2024-02-08
6315,1350," 1274 Industrial Blvd, Jasper, TN 37347"," 185 Johnson Dr, Stuarts Draft, VA 24477",2024-02-06
6272,1400, World Distribution Services Virginia Bea, Sysco Indianapolis - Food Distributor &,2024-02-01
6334,1600, Whitestown IN,Durham NC,2024-02-04
6304,800," Durham, NC 27704-9429"," White, GA 30184-2604",2024-02-05
6269,1300, Hampton VA,Greenwood IN,2024-02-07
6403,967.5, 2610 CLARK WEST RD FAYETTEVILLE NC, 9300 SLIDING HILL RD ASHLAND VA 23005,2024-01-31
6404,2000, 4268 W 30 0 N GREENFIELD IN 46140, 80 0 E MAIN ST SANFORD NC 27332,2024-01-30
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-01-29
6335,1400, Henrico VA,Whitestown IN,2024-01-31
6405,1900, 1320 E MAIN ST VERSAILLES OH 45380, 4120 CONSULATE PLAZA DR SUITE 150 HOUSTON TX 77032,2024-02-02
6406,2500, Houston TX,Williamsburg VA,2024-02-05
6269,1300, 2501 60th St HAMPTON VA, 790 Commerce Pkwy W Dr GREENWOOD IN,2024-02-07
6334,1900," Alexandria, IN 46001"," Disputanta, VA 23842",2024-02-08
6395,875," 920 Black Satchel Rd, CHARLOTTE NC 28216"," 2000 Monticello Ave, NORFOLK VA 23517",2024-02-01
6354,1250, PU NORFOLK VA 23513, SO 2  CONYERS GA 30012,2024-02-05
6407,1100,Villa Rica GA,Richmond VA,2024-02-06
6383,675, PREMIER TECH GROWERS AND MATTAPONI VIRGINIA 23110, COUNTRY CORNER FARMS VIRGINIA 24012,2024-02-07
6272,800," 316 Gator Lane, WYTHEVILLE VA 24382"," 1194 Pine Ridge Road, NORFOLK VA 23502",2024-02-08
6408,150,Not provided, Not provided,2024-02-11
6390,1150," 39 South Park Drive, Greenville, SC 29607"," LIDL/ RDC - Fredericksburg, VA 22407",2024-02-08
6272,1000,NFI Cal cartage 3516 S l/ilitary HwY CHESAPEAKE VA 23323,AMP LOGISTICS 1 15 DILL RD SUFFOLK VA,2024-02-07
6367,1200," CJ Logistics, 220 Greenwood Ct, McDonough, GA 30253",Mechanicsville VA,2024-02-06
6300,1200,Franklin VA,College Park GA,2024-02-05
6409,1000," 315 Pendleton Rd Greenville, SC 29611","Trex(Winchester PolY Receiving Cente0 351 Apple Valley Road Winchester, VA 22605",2024-02-02
6410,1000," 12321 Randolph Ridge Lane, MANASSAS VA 20109"," 126 1st St, CORDOVA NC 28330",2024-02-05
6411,775," 1378 South Hampton Pkwy, Emporia, VA 23847"," 500 Chamandy Dr, Salisbury, NC 28146",2024-02-01
6381,850,COMPANY BOX WESTINGHOUSE 5024 WESTINGHOUSE RD CHARLOTTE NC 28273,Virginia Beach VA,2024-02-06
6274,2000," Crown Cork & Seal, 400 N Walnut St, Crawfordsville, IN 47933"," Crown Cork & Seal Co, 1305 Progress Rd, Suffolk, VA 23434",2024-02-12
6412,1600," FLEX FILMS INC. Shipper References:200 COLLEGE STREET RDELIZABETHTOWN, KY US 42701"," DUPONT TEIN FILMS5200 DuPont Site RoadRichmond, VA US 23234",2024-02-09
6275,400, Chester VA, Petersburg VA,2024-02-11
6271,475," Butler paper, 137 Sachs Ave, FRANKLIN, VA 23851"," Cascade, 10026 Old Ridge Rd, ASHLAND, VA 23005",2024-02-09
6391,507,Chester VA,Rocky Mount NC,2024-02-10
6333,650, WINCHESTER VA, PRINCE GEORGE VA,2024-02-17
6414,700," Lawrenceville, VA"," Mount Crawford, VA",2024-02-16
6354,1890, INDIANAPOLIS IN, DISPUTANTA VA,2024-02-15
6269,1300," Greenwood, IN"," Henderson, NC",2024-02-14
6268,650," Gastonia, NC"," Richmond, VA",2024-02-12
6284,800," 11720 NORTH LAKERIDGE, ASHLAND VA 23005"," 9015 AIRPARK WEST DRIVE, CHARLOTTE NC 28214",2024-02-12
6275,725,Chester VA,Salem VA,2024-02-16
6415,950, TAYLORS SC, CHESTER VA,2024-02-14
6272,1000," Newport News, VA"," Anderson, SC",2024-02-13
6396,850," ROANOKE, VA"," NORFOLK, VA",2024-02-12
6273,1000, Shannon GA, Daleville VA,2024-02-11
6273,1200, WILLIAMSBURG VA,SHANNON GA,2024-02-08
6272,800, CHESAPEAKE VA, COWPENS SC,2024-02-19
6395,875," Charlotte, NC"," Norfolk, VA",2024-02-09
6381,725,Chester VA, Ronda NC,2024-02-09
6334,950," Kings Mountain, NC"," Prince George, VA",2024-02-13
6416,1150, LAGRANGE GA, KING WILLIAM VA,2024-02-14
6359,1000,Durham NC,"Columbus, GA",2024-02-13
6417,1100, Dalton GA,Williamsburg VA,2024-02-13
6418,1400, Chesapeake VA, Gainesville GA,2024-02-14
6273,1200, WILLIAMSBURG VA,Adairsville GA,2024-02-19
6419,950, GREENVILLE SC, PRINCE GEORGE VA,2024-02-15
6321,750,Charlotte NC,Sutherland VA,2024-02-15
6272,1150, Paper Recovery of Georgia - Dalton Dalton GA, Cascades Bear Island Ashland VA,2024-02-14
6286,1200," Williamsburg, VA"," Adairsville, GA",2024-02-13
6273,150, Williamsburg VA,TONU,2024-02-12
6410,700, Richmond VA,Cordova NC,2024-02-14
6273,1200, WILLIAMSBURG VA,ADAIRSVILLE GA,2024-02-15
6420,1000," 3240 Brittain Dr, NEWBERRY SC 29108"," 2305 BELLS RD GATE H, RICHMOND VA 23234",2024-02-20
6407,1100, Villa Rica GA,Richmond VA,2024-02-16
6421,850," PETERSBURG, VA"," HONEA PATH, SC",2024-02-22
6284,795," 11720 NORTH LAKERIDGE, ASHLAND VA 23005"," 9015 AIRPARK WEST DRIVE, CHARLOTTE NC 28214",2024-02-19
6334,250," Williamsburg, VA"," Charlotte, NC",2024-02-19
6286,1200," WILLIAMSBURG, VA"," SHANNON, GA",2024-02-15
6268,1300," Fort Payne, AL"," Chesapeake, VA",2024-02-22
6388,600, Richmond VA,Ridgeway VA,2024-02-22
6401,950, Anderson SC,Chesapeake VA,2024-02-17
6410,700, RICHMOND VA, CORDOVA NC,2024-02-21
6422,750," WILLIAMSBURG, VA"," CONCORD, NC",2024-02-26
6304,800,"Welcome, NC","Fredericksburg, VA",2024-02-20
6272,700, Carolina Container - Laurinburg, Carolina Container - VA Beach,2024-02-22
6320,1050," OILVILLE, VA"," PENDERGRASS, GA",2024-02-16
6423,2000, Plainfield IN,Chesapeake VA,2024-02-21
6424,1100, JEFFERSON GA, FREDERICKSBURG VA,2024-02-19
6269,1375,Portsmouth VA,Plainfield IN,2024-02-20
6269,1400," Epes Transport Warehouse, Hampton VA"," TRIGO-SCSI, Lafayette, IN",2024-02-22
6336,940," Refresco, Greer, SC"," Food Lion - Disputanta PDC, Disputanta, VA",2024-02-26
6419,1000," 39 SOUTH PARK DRIVE, GREENVILLE SC 29607", Disputanta VA,2024-02-22
6425,1000," RICHMOND P&DC USPS (AKA LOG RICHMOND) - 5801 TECHNOLOGY BLVD SANDSTON, VA 23150"," GREENVILLE P&DC. SC - 4605 DAIRY DRIVE GREENVILLE, SC 29607",2024-02-26
6284,795," 11720 NORTH LAKERIDGE, ASHLAND VA 23005"," 9015 AIRPARK WEST DRIVE, CHARLOTTE NC 28214",2024-02-26
6336,1700, SANDSTON VA, WEST PLAINS MO,2024-02-19
6279,900,OXFORD NC,GRIFFIN GA,2024-02-22
6279,2149,WILLOW SPRINGS MISSOURI,GARYSBURG NORTH CAROLINA,2024-02-20
6279,1600,Reynolds IN,Petersburg VA,2024-02-23
6269,1400,Hampton VA,Lafayette IN,2024-02-21
6426,1800,Alexandria IN,Disputanta VA,2024-02-23
6427,0," Atlanta, GA"," Disputanta, VA",2024-02-29
6271,900,Marion VA,Purcellville VA,2024-02-26
6307,670,Chester VA,Salem VA,2024-02-26
6286,1100," Northwest, VA"," Fairburn, GA",2024-02-28
6428,1100," McDonough, GA"," Richmond, VA",2024-02-29
6273,1050, WILLIAMSBURG VA,Adairsville GA,2024-02-28
6335,1750," Indianapolis, IN"," Chester, VA",2024-02-26
6269,1300,Hampton VA,Greenwood IN,2024-02-26
6412,954," Commerce, GA"," Prince George, VA",2024-02-23
6269,1300, Portsmouth VA,Plainfield IN,2024-02-26
6273,1350, Suffolk VA,Fishers IN,2024-02-28
6299,1800, Terre Haute IN, Chester VA,2024-02-26
6300,700,NC,GA,2024-02-22
6355,1100, Calhoun GA,Chester VA,2024-03-06
6273,1025, WILLIAMSBURG VA, SHANNON GA,2024-03-05
6268,900,VA,VA,2024-03-04
6272,850," POWER DISTRIBUTION INC., RICHMOND VA"," PCX CORP, KNIGHTDALE NC",2024-02-29
6429,1150," LAVISTA EQUIPMENT, NORCROSS GA"," WAFFLE HOUSE#2316, HENRICO VA",2024-02-28
6275,1100, VA,GA,2024-03-07
6303,1300," ROME, GA"," NEWPORT NEWS, VA",2024-03-07
6430,471," Mooresville, NC"," Raleigh, NC",2024-03-07
6408,1800," CHARLOTTE, NC"," DISPUTANTA, VA",2024-03-07
6286,725," Charlotte, NC"," Richmond, VA",2024-03-07
6431,1000, CHESAPEAKE VA, GASTONIA NC,2024-03-07
6286,750," CHARLOTTE, NC"," RICHMOND, VA",2024-03-07
6401,950,SC,VA,2024-03-07
6298,700," Severn, NC","  Greenville, SC",2024-03-07
6432,1900," Elkhart, IN"," CHESTERFIELD, VA",2024-03-07
6427,950," Atlanta, GA"," Disputanta, VA",2024-03-07
6427,900," Atlanta, GA"," Norfolk, VA",2024-03-07
6297,1200,GA,VA,2024-03-07
6334,900," Rutherfordton, NC"," Disputanta, VA",2024-03-07
6433,825, WILLIAMSBURG VA, CANDLER NC,2024-03-07
6391,1175," Chesapeake, VA","Chattanooga, TN",2024-03-07
6279,1500,GA,VA,2024-03-07
6275,1100,VA,GA,2024-03-07
6269,1400,VA,IN,2024-03-07
6321,2100, WHITESTOWN IN, CHESTER VA,2024-03-01
6434,1350, CHESAPEAKE VA, CRAWFORDSVILLE IN,2024-03-04
6378,1800," Alpharetta, GA",Norfolk VA,2024-03-05
6269,1300, HAMPTON VA, GREENWOOD IN,2024-03-07
6426,1800," 2595 W STATE ROAD 28, ALEXANDRIA, IN 46001"," DISPUTANTA, VA 23842",2024-03-08
6430,1882.79, Alexandria IN,Petersburg VA,2024-03-07
6430,1882.79,N/A,N/A,2024-03-07
6435,850," PETERSBURG, VA"," HONEA PATH, SC",2024-03-05
6334,900," Kings Mountain, NC"," Prince George, VA",2024-03-05
6269,1300," Greenwood, IN"," Henderson, NC",2024-03-06
6436,1200, VA,GA,2024-03-06
6304,1200," Carrollton, GA"," Sandston, VA",2024-03-07
6436,1200," WILLIAMSBURG, VA"," ADAIRSVILLE, GA",2024-03-05
6272,800, Newport News VA, CHESNEE SC,2024-03-06
6310,955," Kings Mountain, NC"," Ashland, VA",2024-03-06
6437,750,Statesville NC,Ruther Glen VA,2024-03-11
6310,850," HAMPTON, VA"," FLETCHER, NC",2024-03-11
6326,1100, CARTERSVILLE GA, Henrico VA,2024-03-19
6436,1200," WILLIAMSBURG, VA"," SHANNON, GA",2024-03-19
6269,1300, HAMPTON VA, GREENWOOD IN,2024-03-19
6334,900," Rutherfordton, NC"," Disputanta, VA",2024-03-19
6279,1800,IN,VA,2024-03-19
6396,1962.5," PLAINFIELD, IN"," DISPUTANTA, VA",2024-03-19
6269,1300,Hampton VA,Greenwood IN,2024-03-19
6269,1300," Epes Transport Warehouse, Greenwood IN"," TA Services, Greenwood IN",2024-03-19
6307,1250," PETERSBURG, VA"," TERRE HAUTE, IN",2024-03-19
6335,1650," Indianapolis, IN"," Chester, VA",2024-03-19
6328,850, CONWAY SC, ASHLAND VA,2024-03-19
6438,1000, CHATSWORTH GA, MAXTON NC,2024-03-19
6436,1200," WILLIAMSBURG, VA"," SHANNON, GA",2024-03-19
6336,1100," Calhoun, GA",Richmond VA,2024-03-19
6368,1200," Calhoun, GA",Fredericksburg VA,2024-03-19
6436,1200,Williamsburg VA,Adairsville GA,2024-03-19
6269,1300," Epes Transport Warehouse, Hampton VA", TA Services - Greenwood IN,2024-03-19
6279,1800,Greenfield IN,Chesapeake VA,2024-03-19
6439,950,Greer SC,Henrico VA,2024-03-19
6436,1200," Williamsburg, VA"," Shannon, GA",2024-03-19
6440,1050," Newport News, VA"," Anderson, SC",2024-03-19
6272,1000," 1104 Willowdale Rd NW, DALTON GA 30720"," 4565 Carolina Ave BLDG G, RICHMOND VA 23222",2024-03-19
6436,1200," WILLIAMSBURG, VA","  ADAIRSVILLE, GA",2024-03-19
6441,1300,LITHIA SPRINGS GA,DISPUTANTA VA,2024-03-19
6396,2005," PLAINFIELD, IN"," DISPUTANTA, VA",2024-03-21
6269,1300, HAMPTON VA, GREENWOOD IN,2024-03-21
6269,1300, Hampton VA, Greenwood IN,2024-03-21
6269,1300, HAMPTON VA, GREENWOOD IN,2024-03-21
6442,1700," SEYMOUR, IN"," CHESTER, VA",2024-03-21
6443,1050,Norcross GA,Richmond VA,2024-03-21
6268,975," Suffolk, VA"," Norcross, GA",2024-03-21
6315,1000," Richmond, VA"," Senoia, GA",2024-03-21
6374,1100, Lithia GA, Windsor VA,2024-03-21
6272,850, Newport News VA, CHESNEE SC,2024-03-21
6272,900, Newport News VA, Cherryville NC,2024-03-21
6334,900," Rutherfordton, NC"," Disputanta, VA",2024-03-21
6286,700," Richmond, VA"," Fuquay-Varina, NC",2024-03-21
